title;last_response;responses;views;link;categorie
Tråden om HHS;Idag 13:53;9047;1735923;https://www.flashback.org/t627392;Utbildning och studier
CSN lån för CFA level 1?;Idag 13:24;7;723;https://www.flashback.org/t3335450;Utbildning och studier
Dotter börjar i klass med bara elever som inte kan svenska;Idag 12:32;210;31315;https://www.flashback.org/t3345746;Utbildning och studier
Dags för en utbildning men vilken?;Igår 22:23;4;570;https://www.flashback.org/t3344803;Utbildning och studier
"Ni som läste en ""värdelös"" utbildning på universitetet. Hur gick det för er?";Igår 20:37;119;26524;https://www.flashback.org/t3343951;Utbildning och studier
Ska börja studera - Hur göra med jobbet?;Igår 17:49;11;1254;https://www.flashback.org/t3345716;Utbildning och studier
Allt om Hermods - diskussioner och frågor;Igår 13:36;3729;1505856;https://www.flashback.org/t718068;Utbildning och studier
Tråden om polishögskolan;Igår 12:52;10516;2387058;https://www.flashback.org/t3058166;Utbildning och studier
Juristprogrammet;2021-08-04 22:06;24360;4578385;https://www.flashback.org/t426684;Utbildning och studier
Matte inför HP dåliga gymnasiebetyg;2021-08-04 21:42;5;361;https://www.flashback.org/t3345952;Utbildning och studier
Studentboende i Lund [se första inlägget för FAQ /Mod];2021-08-04 09:21;6133;908488;https://www.flashback.org/t497600;Utbildning och studier
Psykologprogrammet;2021-08-04 07:38;810;239610;https://www.flashback.org/t356153;Utbildning och studier
Kurslitteratur online - Programmering 1 python;2021-08-03 19:03;0;247;https://www.flashback.org/t3345728;Utbildning och studier
Datateknik KTH;2021-08-03 18:44;1;494;https://www.flashback.org/t3319003;Utbildning och studier
Hitta vilken kurslitteratur som behövs;2021-08-03 16:51;14;475;https://www.flashback.org/t3345596;Utbildning och studier
Beteendevetare/socionom -> psykoterapeutprogrammet Söker någon som gjort resan;2021-08-03 10:02;3;323;https://www.flashback.org/t3345563;Utbildning och studier
Civ ing Lantmäteri;2021-08-03 00:10;91;15650;https://www.flashback.org/t790010;Utbildning och studier
Gör jag mig själv en otjänst som ens övervägar lärarprogrammet?;2021-08-02 20:47;45;4560;https://www.flashback.org/t3342803;Utbildning och studier
Lantmäteri, LTH eller Samhällsbyggnad, KTH?;2021-08-02 20:24;10;705;https://www.flashback.org/t2189932;Utbildning och studier
Studera tandläkare utan kunskap;2021-08-02 19:28;12;969;https://www.flashback.org/t3301082;Utbildning och studier
Ekonomi och Produktionsteknik på Chalmers?;2021-08-02 16:11;3;304;https://www.flashback.org/t2541324;Utbildning och studier
Om ni var tvugna att läsa minst 5 år på universitet / högskola, vad skulle du välja?;2021-08-02 15:32;6;741;https://www.flashback.org/t3345392;Utbildning och studier
Diskussioner om tekniskt basår;2021-08-02 12:51;745;114198;https://www.flashback.org/t514239;Utbildning och studier
Vad anser ni vara en person som är högutbildad?;2021-08-02 09:23;49;3802;https://www.flashback.org/t3344645;Utbildning och studier
Yh byggnadsingenjör;2021-08-02 08:47;0;247;https://www.flashback.org/t3345369;Utbildning och studier
Lärlingslön;2021-08-01 21:24;9;627;https://www.flashback.org/t3345170;Utbildning och studier
