title;last_response;responses;views;link;categorie;date;first_post
Kurslitteratur online - Programmering 1 python;2021-08-03;0;285;https://www.flashback.org/t3345728;Utbildning och studier;2021-08-03;"Någon som vet var man kan hitta boken: programmering 1 python lärobok online? Hittar bara bunden upplaga för dryga 500 spänn. 

Vänligen P"
Datateknik KTH;2021-08-03;1;551;https://www.flashback.org/t3319003;Utbildning och studier;2021-04-10;"Nu är det så att jag har börjat få intresse för programmering och datateknik och funderar på vilken väg jag ska gå. Som nybörjare har jag ganska dålig koll på vad som är bra och dåligt och vill gärna inte göra samma misstag som jag redan en gång har gjort. Jag har en ekonomie kandidatexamen som jag tycker är skit. Kandidatuppsatsen handlade om vikten av RPA och BI vilket fångade mitt intresse ännu mer för teknik. Nu går jag en programmeringskurs på gymnasienivå hos Hermods för och ""känna på"" med språket C# och lär mig lite Python på fritiden. Har även sökt programmeringsteknik och en matte kurs till sommaren. 

Funderar på att söka till Datateknik KTH (är behörig då jag gick basår för ett par år sedan). Hur ser ni på den utbildningsvägen? Vad tycker ni att man ska satsa vad gäller programmering och utbildning? Vad är skillnaden mellan datateknik och informationsteknik? Hur ser framtiden ut? 

Har hört från andra att det är stor konkurrens på marknaden om 5 år då många utbildar sig inom datateknik och informationsteknik. 

Mina intresseområden är bland annat AI och Machine Learning."
Varför finns ingen YH programmerings utbildning i Umeå?;2021-07-27;1;437;https://www.flashback.org/t3341086;Utbildning och studier;2021-07-14;"Känns konstigt 
Behöver inte Umeå med omnejd någon som kan programmera? :P"
Examenstitlar vid datateknik/-vetenskap?;2021-07-26;6;551;https://www.flashback.org/t3342856;Utbildning och studier;2021-07-22;"Jag har blivit alltmer förvirrad av de svenska lärosätenas val av examina vid datautbildningar. Det kanske spelar mindre roll, men det är något jag har lätta att haka upp mig på och det kanske finns en förklaring till skillnaderna.

Den klassiska examen på kandidat och masternivå internationellt inom data, speciellt i USA, är Bachelor of Science in Computer Science, respektive Master of Science CS. Detta går att skaffa i Sverige men inte på de tekniska skolorna utan på vetenskapsfakultet på universitet som Uu, Su, Gu. Examen man får på LTH, CTH är Bachelor / Master of Science in Engineering, CS. Jag har sökt om detta, BSE och MSE, och har hittat att de finns även i USA men är kopplade till ackrediterade ingenjörsutbildningar, något som inte finns alls i Sverige. Som jag har förstått det är de svenska titlarna högskoleingenjör och civilingenjör lite mer meriterande än kandidat/master för att söka jobb i Sverige.

Och för att göra det ännu konstigare, LiUs Högskoleingenjörsprogram ger titeln Bachelor of Science in Engineering and Bachelor of Science, på svenska Högskoleingenjör och Teknologie kandidat. Vad är detta? Är det en dubbel examen eller bara flummigare titel? Om det första så låter det väl ganska bra med två examen?"
Statistik och dataanalys vs tekniskfysik/matematik inriktning statistik;2021-07-26;26;1881;https://www.flashback.org/t3339121;Utbildning och studier;2021-07-05;"Hej!
Jag skulle vilja rådfråga flashback om vilken utbildning ni tycker verkar vara bäst!
Jag funderar på antingen https://liu.se/studieinfo/program/f7ksa/4856 + en master i machine learning vid liu, eller teknisk fysik/matematik kandidat med inriktning på statistik! Det jag skulle vilja jobba med sen är något som statistiker(tex i offentlig sektor eller inom medicin), data analytiker åt ett företag som jag själv har något intresse i) eller Data scientist! Så som jag har uppfattat det så är statistik och dataanalys programmet rätt så nischat och inte så brett(behöver inte vara negativt för mig) men det fokuserar mycket på tillämpning av statistik och matematik samt så är det mycket programmering(samt några intressant kurser som tillexempel data mining). Teknisk fysik känns bredare och med fler möjligheter. När jag kollar jobbannonsser för tex data scientist eller dataanalytiker så verkar alla krav vara uppfyllda om jag hade gått statistik och dataanalys programmet plus möjligtvis en master, men ibland så efterfrågar dem en med ingengörsbakrund ändå, men om man kan det som efterfrågas så borde inte det spela någon roll. Det som jag känner är också det är teknik fysik/matematik uppfattas som ""högre rankade"" utbildningar är statistik och dataanalys, främst av företagen då, men det kanske inte spelar så stor roll? Varför jag gillar statistik och dataanalys programmet är också för att det verkar vara väldigt bra förberedande inför arbetslivet. Vilket hade ni valt och det kanske finns någon som har gått statistik och dataanalys programmet eller teknisk fysik?
Tack på förhand för svar!"
Biomedicinsk Analytiker;2021-07-24;325;99408;https://www.flashback.org/t616812;Utbildning och studier;2008-02-03;"Hej,

Jag går nu sista året i Komvux och har ganska bra betyg, och vill fortsätta läsa. Först var min plan att utbilda mig till lärare men jag tror att det yrket hade knäckt mig ganska snabbt och har således blivit alltmer intresserad av vårdyrkena. Mest intresserad är jag i att utbilda mig själv till Biomedicinsk Analytiker. Innan jag bestämmer mig har jag dock två frågor:

1) Om man utbildar sig till BMA, kan man då arbeta som det i andra länder? Är utbildningen godkänd världen över?
2) Vilket universitet/högskola har bäst utbildning? Är det värt att fundera på att studera utomlands?

Valet står mellan biomedicinsk analytiker eller religionsvetenskap. 

/ak000"
Varning till alla er som ska läsa Datavetenskap eller yrkeshögskola-programmering;2021-07-21;58;20655;https://www.flashback.org/t3342238;Utbildning och studier;2021-07-19;"Det är ingen lek, många av er tror säkert att:
""Så länge jag får mitt betyg i datavetenskap så kommer allt gå fint, fint."" 
1. Problemet jag ganska snabbt kände var hur orelevant det vi lärde oss från tiden var, när du kommer ut på arbetsmarknaden så ser du hur kraven skiljer sig så mycket. Det beror på att många av lärarna är matematiker och inte programmerare själva, du får med andra ord en utbildning i matematik eller vetenskap snarare än DATORvetenskap. 
Valde därefter att studera på yrkeshögskola. Vill inte säga vilken för det kommer troligviss avslöja min identitet. Var mest personer där som spelade pingis på rasterna och inte alls var intresserade av programmering. Gick inte klart på den heller då lärarna knappt dök upp och jag blev stilla sittandes allt för mycket. 

2. Jag valde att bli självlärd och på något sätt lyckades jag få ett jobb på ett helt okej företag(22k i månaden). Dagarna var långa och varje dag slutade med hjärntrötthet. Vet inte vad som hände men det var som att alla på min jobb-cirkel var deprimerade och ensamma. Dem 5 första månaderna var givande, sen kom vi in i en period där större press sattes på oss då vårt företag hade råkat ut för något typ av bugg som gjorde att webbsidans prestanda inte klarade av trafiken. Vilket resulterade i att vi fick nya arbetsuppgifter och flera slutade under denna tid samtidigt som jag var kvar och försökte lära mig att förstå det nya arbetstänkandet. Mycket av jobbet följde med hem och tillslut började jag tappa hår troligtvis pga. av sömnbrist och stress. En erfaren kollega till mig hade också bränt ut sig. Han beskrev hur han börjat få utskrivet medicin för ångest. Jag kommer ihåg en sak han sade när jag berätta att jag funderade på att bytta jobb till något annat liknande.
""Det är såhär på alla jobb jag jobbat på""
Den meningen ger mig kalla kårar, det var som att jag insåg vilken spiral jag suttit mig själv i och jag behövde genast lämna detta klimatet. Fick förövrigt sparken därifrån för att jag lyckades förstöra min 3000 kod med att göra ett simpelt fel som inte gick att återgärda, jag vet vår chef var ett svin... men det är en annan historia. 

3. Någon motivationsfaktor fick mig ändå att fortsätta våga konkurrera i denna bransch och jag valde att bli en frilansande dev-ops engineer. Lyckades på ca 4 månader vid sidan av mitt nya icke utvecklar-jobb få relativt bra kunskap av ämnet. Valde att bli frilansare och första månaderna hade jag en låg-tim lön (eller vad jag trodde iallafall) och lyckades på det sättet attrahera en del online jobb. Var otroligt naiv och slutade på mitt jobb för att försöka skala detta till ett helhetsjobb. Gick väldigt bra och jag snittade ungefär(19k i månaden). 
Men sen så var det som en pandemi av indier kom in i gamet. Några av dem hade så låg timlön som 60kr och jag kände en stor oro över min framtid. Självklart valde nån att anmäla min profil för nån outgrundlig anledning och jag behövde börja om. Allt som jag hade byggt upp på 9 månader var borta. Insåg att jag behövde söka jobb, men fick inget. Kunde inte bo kvar i min överprisade hyresrätt och 

Nu är jag 28 (snart 29) skriver detta från en Iphone 4s. Bor hemma hos mina föräldrar. Har självklart ingen flickvän. Jobbar delvis med frilansade till en väldigt låg-timlön dels för att jag fortfarande tycker det är kul men också ett bra sätt att dra in lite extra deg till hushållet. Kanske är det en distraktion från verkligheten men en sak är säker, denna bubbla har förstört mitt liv och jag tror aldrig att jag någonsin kommer känna glädje igen. Om ni vill bli som mig, bli utvecklare!"
Civilingenjör Datateknik i Lund. Kommer det se bra ut på CV:t?;2021-07-18;8;836;https://www.flashback.org/t3341879;Utbildning och studier;2021-07-17;"Kommit in på Civilingenjörsprogrammet i Lund inr Datateknik. Ville gå det programmet för jag tycker datorer är nice och vill fram för allt lära mig mer och djupdyka inom området. Enligt denna ranking är Lund det bästa universitetet i Sverige: https://www.topuniversities.com/univ...-rankings/2020

Kommer denna utbildning ge ett bra jobb? Av ingenjörsutbildningar är det bland den bästa i Sverige så det borde ju bli bra, men flashbackare är alltid lite extra pessimistiska, så vad säger ni om det?"
Vad betyder de olika matematik-böckerna?;2021-07-18;5;760;https://www.flashback.org/t3341069;Utbildning och studier;2021-07-13;"Är på väg att söka till en matte 3b-kurs men för att även plugga till HP ska jag läsa 1 och 2b samtidigt. Har sen tidigare klarat 2b på gymnasiet. Men nu måste jag köpa matteböckerna och ser en väldans många olika versioner av böckerna. Vissa som heter Vux, flera som kallar sig ""2bc"" istället för bara 2b. Vilka böcker är det jag ska köpa? Och vad är bästa platsen att köpa dem på?

Och en annan fråga om distansläsning. Man måste väl inte vara medverkande på några typer av samtal? Hela anledningen till att jag måste läsa distans är för att jag jobbar sent. Antar att allt brukar vara inspelat? Specifikt Hermods.

Tack för svar!"
Mjukvaruutvecklare (Inbyggda system) vs systemutvecklare;2021-07-10;0;399;https://www.flashback.org/t3340178;Utbildning och studier;2021-07-10;"Hej!
Det är dags för mig att börja studera.
Velar mellan dessa två utbildningar.
1. https://movant.se/yh/utbildningar/mj...byggda-system/
2. https://www.newton.se/utbildning/systemutvecklare-java/

Finns det någon som gått på respektive utbildning? Ni som är I branschen vad tycker ni om upplägget på utbildningarna och vilken rekommenderar ni?
Hur ser det ut med lön, arbetstider och förmåner?.
Mvh Soraxx"
